Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2020-9-29/9:19:33,brain_tumor1,1,0,0,0,CFS,C4.5,58,96.67,2,3.33,0.93,0.02,0.11,11.38,34.41,60,0.97,0.04,0.97,0.97,0.96,0.95,0.97,0.95,22,73.33,8,26.67,0.48,0.12,0.33,53.01,97.05,30,0.73,0.29,NaN,0.73,NaN,NaN,0.72,0.67,104
2020-9-29/9:19:35,brain_tumor1,1,0,0,0,CFS,IB1,60,100,0,0,1,0.02,0.03,11.61,9.64,60,1,0,1,1,1,1,1,1,25,83.33,5,16.67,0.71,0.09,0.25,38.67,74.5,30,0.83,0.12,0.9,0.83,0.86,0.72,0.86,0.84,104
2020-9-29/9:19:34,brain_tumor1,1,0,0,0,CFS,Naive-Bayes,60,100,0,0,1,0,0,0,0,60,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.01,0.12,5.99,34.42,30,0.97,0.01,NaN,0.97,NaN,NaN,1,0.98,104
2020-9-29/9:19:36,brain_tumor1,1,0,0,0,CFS,SVM,60,100,0,0,1,0.24,0.32,113.15,99,60,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.24,0.32,109.53,96.06,30,0.9,0.17,NaN,0.9,NaN,NaN,0.9,0.88,104
2020-9-29/9:14:32,brain_tumor1,1,0,0,0,None,C4.5,59,98.33,1,1.67,0.97,0.01,0.08,6.14,25.27,60,0.98,0.04,0.98,0.98,0.98,0.96,0.98,0.97,20,66.67,10,33.33,0.43,0.14,0.36,61.71,108.37,30,0.67,0.2,0.74,0.67,0.7,0.47,0.74,0.67,5921
2020-9-29/9:14:57,brain_tumor1,1,0,0,0,None,IB1,60,100,0,0,1,0.02,0.03,11.61,9.64,60,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.06,0.19,27.62,58,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/9:14:55,brain_tumor1,1,0,0,0,None,Naive-Bayes,60,100,0,0,1,0,0,0,0,60,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.04,0.2,17.96,59.61,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/9:15:26,brain_tumor1,1,0,0,0,None,SVM,60,100,0,0,1,0.24,0.32,113.15,98.96,60,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.24,0.32,108.93,95.5,30,0.93,0.12,NaN,0.93,NaN,NaN,0.93,0.91,5921
2020-10-6/14:50:36,brain_tumor1,1,0,0,1,CFS,C4.5,20,100,0,0,1,0,0,0,0,20,1,0,1,1,1,1,1,1,12,40,18,60,0.25,0.24,0.49,75,122.47,30,0.4,0.05,0.82,0.4,0.48,0.39,0.68,0.6,114
2020-10-6/14:50:38,brain_tumor1,1,0,0,1,CFS,IB1,20,100,0,0,1,0.06,0.08,20,20,20,1,0,1,1,1,1,1,1,17,56.67,13,43.33,0.46,0.2,0.38,63.33,95.22,30,0.57,0.01,0.97,0.57,0.64,0.58,0.78,0.81,114
