Time,Dataset,TypeDataset,IR,Repetition,SmoteMin,SmoteMax,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2022-6-16/12:56:59,nomao,regular,3,1,0,0,None,IB1,22975,100,1,0,1,0,0.01,0.03,1.31,22976,1,0,1,1,1,1,1,1,10744,93.52,744,6.48,0.84,0.06,0.25,15.85,56.11,11488,0.94,0.09,0.94,0.94,0.94,0.84,0.93,0.91,119
2022-6-16/13:0:7,nomao,regular,3,1,0,0,None,SVM,21123,91.94,1853,8.06,0.8,0.08,0.28,19.84,63,22976,0.92,0.11,0.92,0.92,0.92,0.8,0.91,0.89,10539,91.74,949,8.26,0.8,0.08,0.29,20.2,63.37,11488,0.92,0.11,0.92,0.92,0.92,0.8,0.91,0.89,119
2022-6-16/13:1:4,nomao,regular,3,1,0,0,CFS,IB1,22477,97.83,499,2.17,0.95,0.03,0.13,7.69,27.72,22976,0.98,0.03,0.98,0.98,0.98,0.95,1,1,10700,93.14,788,6.86,0.83,0.08,0.25,19.27,55.36,11488,0.93,0.11,0.93,0.93,0.93,0.83,0.95,0.95,10
2022-6-16/13:1:27,nomao,regular,3,1,0,0,CFS,SVM,20216,87.99,2760,12.01,0.71,0.12,0.35,29.55,76.88,22976,0.88,0.15,0.88,0.88,0.88,0.71,0.87,0.85,10065,87.61,1423,12.39,0.71,0.12,0.35,30.29,77.6,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10
2022-6-16/13:5:5,nomao,regular,3,1,0,RUS,None,IB1,13037,99.99,1,0.01,1,0,0.01,0.03,1.24,13038,1,0,1,1,1,1,1,1,10515,91.53,973,8.47,0.8,0.08,0.29,16.93,58.16,11488,0.92,0.08,0.92,0.92,0.92,0.81,0.92,0.9,119
2022-6-16/13:6:6,nomao,regular,3,1,0,RUS,None,SVM,11959,91.72,1079,8.28,0.83,0.08,0.29,16.55,57.54,13038,0.92,0.08,0.92,0.92,0.92,0.83,0.92,0.88,10446,90.93,1042,9.07,0.79,0.09,0.3,18.14,60.23,11488,0.91,0.08,0.92,0.91,0.91,0.79,0.91,0.89,119
2022-6-16/13:6:39,nomao,regular,3,1,0,RUS,CFS,IB1,12736,97.68,302,2.32,0.95,0.03,0.13,6.52,25.51,13038,0.98,0.02,0.98,0.98,0.98,0.95,1,1,10498,91.38,990,8.62,0.8,0.09,0.28,18.48,55.18,11488,0.91,0.08,0.92,0.91,0.92,0.8,0.94,0.93,10
2022-6-16/13:6:43,nomao,regular,3,1,0,RUS,CFS,SVM,11299,86.66,1739,13.34,0.73,0.13,0.37,26.68,73.04,13038,0.87,0.13,0.87,0.87,0.87,0.73,0.87,0.82,10073,87.68,1415,12.32,0.71,0.12,0.35,24.63,70.19,11488,0.88,0.15,0.88,0.88,0.88,0.71,0.86,0.84,10
2022-6-16/13:12:22,nomao,regular,3,1,Auto,RUS2,None,IB1,19555,99.99,1,0.01,1,0,0.01,0.03,1.36,19556,1,0,1,1,1,1,1,1,10707,93.2,781,6.8,0.84,0.07,0.26,15.83,57.23,11488,0.93,0.08,0.93,0.93,0.93,0.84,0.93,0.91,119
2022-6-16/13:14:37,nomao,regular,3,1,Auto,RUS2,None,SVM,17944,91.76,1612,8.24,0.82,0.08,0.29,18.55,60.9,19556,0.92,0.1,0.92,0.92,0.92,0.82,0.91,0.89,10529,91.65,959,8.35,0.8,0.08,0.29,19.42,63.41,11488,0.92,0.1,0.92,0.92,0.92,0.8,0.91,0.89,119
